2020-03-19 20:34:30 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:30 status half-installed base-files:amd64 10.1ubuntu7
2020-03-19 20:34:30 status half-installed base-files:amd64 10.1ubuntu7
2020-03-19 20:34:30 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:30 status unpacked base-files:amd64 10.1ubuntu7
2020-03-19 20:34:30 upgrade base-passwd:amd64 3.5.45 3.5.45
2020-03-19 20:34:30 status half-configured base-passwd:amd64 3.5.45
2020-03-19 20:34:30 status unpacked base-passwd:amd64 3.5.45
2020-03-19 20:34:30 status half-installed base-passwd:amd64 3.5.45
2020-03-19 20:34:30 status half-installed base-passwd:amd64 3.5.45
2020-03-19 20:34:30 status unpacked base-passwd:amd64 3.5.45
2020-03-19 20:34:30 status unpacked base-passwd:amd64 3.5.45
2020-03-19 20:34:30 install bash:amd64 <none> 4.4.18-2ubuntu3
2020-03-19 20:34:30 status half-installed bash:amd64 4.4.18-2ubuntu3
2020-03-19 20:34:30 status unpacked bash:amd64 4.4.18-2ubuntu3
2020-03-19 20:34:30 status unpacked bash:amd64 4.4.18-2ubuntu3
2020-03-19 20:34:30 install bsdutils:amd64 <none> 1:2.32-0.1ubuntu2
2020-03-19 20:34:30 status half-installed bsdutils:amd64 1:2.32-0.1ubuntu2
2020-03-19 20:34:30 status unpacked bsdutils:amd64 1:2.32-0.1ubuntu2
2020-03-19 20:34:30 status unpacked bsdutils:amd64 1:2.32-0.1ubuntu2
2020-03-19 20:34:30 install coreutils:amd64 <none> 8.28-1ubuntu2
2020-03-19 20:34:30 status half-installed coreutils:amd64 8.28-1ubuntu2
2020-03-19 20:34:30 status unpacked coreutils:amd64 8.28-1ubuntu2
2020-03-19 20:34:30 status unpacked coreutils:amd64 8.28-1ubuntu2
2020-03-19 20:34:30 install dash:amd64 <none> 0.5.8-2.10
2020-03-19 20:34:30 status half-installed dash:amd64 0.5.8-2.10
2020-03-19 20:34:31 status unpacked dash:amd64 0.5.8-2.10
2020-03-19 20:34:31 status unpacked dash:amd64 0.5.8-2.10
2020-03-19 20:34:31 upgrade debconf:all 1.5.69 1.5.69
2020-03-19 20:34:31 status half-configured debconf:all 1.5.69
2020-03-19 20:34:31 status unpacked debconf:all 1.5.69
2020-03-19 20:34:31 status half-installed debconf:all 1.5.69
2020-03-19 20:34:31 status half-installed debconf:all 1.5.69
2020-03-19 20:34:31 status unpacked debconf:all 1.5.69
2020-03-19 20:34:31 status unpacked debconf:all 1.5.69
2020-03-19 20:34:31 install debianutils:amd64 <none> 4.8.6
2020-03-19 20:34:31 status half-installed debianutils:amd64 4.8.6
2020-03-19 20:34:31 status unpacked debianutils:amd64 4.8.6
2020-03-19 20:34:31 status unpacked debianutils:amd64 4.8.6
2020-03-19 20:34:31 install diffutils:amd64 <none> 1:3.6-1
2020-03-19 20:34:31 status half-installed diffutils:amd64 1:3.6-1
2020-03-19 20:34:31 status unpacked diffutils:amd64 1:3.6-1
2020-03-19 20:34:31 status unpacked diffutils:amd64 1:3.6-1
2020-03-19 20:34:31 upgrade dpkg:amd64 1.19.0.5ubuntu5 1.19.0.5ubuntu5
2020-03-19 20:34:31 status half-configured dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:31 status unpacked dpkg:amd64 1.19.0.5ubuntu5
